TurbID,DATATIME,WINDSPEED,PREPOWER,WINDDIRECTION,TEMPERATURE,HUMIDITY,PRESSURE,"ROUND(A.WS,1)","ROUND(A.POWER,0)",YD15
8,0:15:00,14.2,16484,352,16.5,22,1196,7.2,10314,0.9
8,2023/06/17 00:00,15.6,433,353,40.6,22,983,3.3,1302,11.8
8,2023/06/17 00:15,9.4,5259,94,-16.4,99,1192,16.8,16926,16.5
8,2023/06/17 00:30,7.5,6661,212,12.7,87,915,2.9,1373,19.0
8,2023/06/17 00:45,3.9,5226,213,-11.6,72,1107,8.0,4643,12.6
8,2023/06/17 01:00,10.0,3625,120,19.8,28,1173,14.7,15591,4.6
8,2023/06/17 01:15,6.2,16809,11,26.5,14,953,9.9,2683,9.7
8,2023/06/17 01:30,11.0,1798,23,-1.1,35,966,15.5,2857,6.0
8,2023/06/17 01:45,2.5,10563,89,4.4,40,967,6.2,350,11.9
8,2023/06/17 02:00,14.8,1154,291,25.8,82,1124,11.5,15215,13.4
8,2023/06/17 02:15,10.2,10135,281,28.4,0,1172,6.0,7449,2.3
8,2023/06/17 02:30,0.2,16916,15,44.8,27,1133,15.2,4738,9.7
8,2023/06/17 02:45,6.5,4114,305,14.4,10,1052,2.5,218,15.1
8,2023/06/17 03:00,4.5,19225,67,44.7,54,921,15.1,11210,9.5
8,2023/06/17 03:15,4.9,17034,54,-1.6,7,1150,11.5,4376,5.5
8,2023/06/17 03:30,11.4,14593,252,16.9,11,869,15.6,2802,5.2
8,2023/06/17 03:45,8.5,15258,16,-0.3,16,1060,13.8,18211,17.4
8,2023/06/17 04:00,0.8,18501,89,42.5,1,972,5.3,13821,1.1
8,2023/06/17 04:15,9.3,14696,138,-13.8,46,981,11.2,4051,7.0
8,2023/06/17 04:30,17.2,7233,134,21.9,51,1185,14.7,17858,19.6
8,2023/06/17 04:45,3.3,7969,81,-16.7,71,1052,9.7,11662,19.4
8,2023/06/17 05:00,0.8,6088,227,-3.8,6,812,5.2,16826,15.9
8,2023/06/17 05:15,19.5,4426,43,15.3,87,1167,19.6,7488,8.4
8,2023/06/17 05:30,0.8,14028,66,5.6,35,861,14.9,8615,4.9
8,2023/06/17 05:45,17.9,5338,195,21.8,22,934,3.5,13038,1.8
8,2023/06/17 06:00,16.6,5096,255,15.6,67,1118,6.9,5322,8.4
8,2023/06/17 06:15,3.8,16482,301,-7.0,96,889,19.4,15019,18.0
8,2023/06/17 06:30,8.6,9421,271,28.5,17,935,15.7,16547,5.8
8,2023/06/17 06:45,0.4,2179,102,31.4,91,1021,0.4,19812,14.7
8,2023/06/17 07:00,17.4,534,135,-10.4,68,815,12.4,11736,4.2
8,2023/06/17 07:15,8.0,10546,141,-19.1,59,999,17.1,15703,3.2
8,2023/06/17 07:30,9.3,14387,338,22.8,89,962,13.8,18452,4.6
8,2023/06/17 07:45,1.8,15635,109,30.4,59,1075,10.5,7885,13.1
8,2023/06/17 08:00,12.8,8304,253,2.2,54,923,11.0,8234,17.4
8,2023/06/17 08:15,19.5,18495,332,0.9,85,1112,8.7,13068,15.6
8,2023/06/17 08:30,12.8,4850,303,7.5,5,804,10.7,12816,15.9
8,2023/06/17 08:45,8.6,17977,65,28.1,37,1190,10.7,13647,8.9
8,2023/06/17 09:00,0.4,11322,206,39.9,19,1111,6.3,13919,9.3
8,2023/06/17 09:15,0.6,2925,272,22.3,0,1199,1.0,18360,10.4
8,2023/06/17 09:30,13.1,14218,268,8.7,57,1127,11.9,7236,3.7
8,2023/06/17 09:45,5.4,1434,192,31.0,14,946,7.8,6389,17.1
8,2023/06/17 10:00,13.9,8703,41,11.7,51,946,3.4,15273,16.5
8,2023/06/17 10:15,9.0,11933,161,11.2,87,812,1.4,19265,18.1
8,2023/06/17 10:30,7.8,18740,329,-10.9,88,1057,14.5,19647,14.5
8,2023/06/17 10:45,20.0,15378,263,37.2,23,1094,15.9,2090,10.6
8,2023/06/17 11:00,1.3,3721,157,13.3,20,1176,17.9,7463,5.5
8,2023/06/17 11:15,15.5,14384,205,18.7,55,880,18.4,9375,13.4
8,2023/06/17 11:30,6.5,8199,156,-16.6,41,1123,12.5,932,17.8
8,2023/06/17 11:45,4.8,14593,92,-12.9,86,961,5.9,19608,18.0
8,2023/06/17 12:00,10.9,1186,259,5.4,86,828,19.8,10483,6.2
8,2023/06/17 12:15,11.5,9543,92,10.5,97,822,5.3,8479,15.7
8,2023/06/17 12:30,12.7,13639,208,-3.4,68,963,7.2,4786,0.3
8,2023/06/17 12:45,17.7,10787,14,-3.6,91,871,11.4,10700,17.0
8,2023/06/17 13:00,11.4,18812,10,-12.4,42,1067,12.8,18205,0.6
